,Bedrooms,Capacity,Price,Review_Count,Room_Type,Star_Rating,Avg_Price,log_Price,log_Avg_Price,log_Review_Count,Has_Star_Rating,City_NY,City_SF
14,1.0,2,150,4,2,4.5,97.5573770492,5.0106352941,4.46457590193,1.38629436112,1,1.0,0.0
15,0.0,4,135,15,2,4.5,97.5573770492,4.90527477844,4.46457590193,2.7080502011,1,1.0,0.0
16,1.0,1,78,8,1,5.0,97.5573770492,4.35670882669,4.46457590193,2.07944154168,1,1.0,0.0
17,0.0,3,200,1,2,0.0,97.5573770492,5.29831736655,4.46457590193,0.0,0,1.0,0.0
0,0.0,2,110,7,2,4.5,97.5573770492,4.70048036579,4.46457590193,1.94591014906,1,1.0,0.0
1,0.0,2,235,5,2,5.0,97.5573770492,5.45958551414,4.46457590193,1.60943791243,1,1.0,0.0
2,1.0,2,130,8,2,5.0,97.5573770492,4.86753445046,4.46457590193,2.07944154168,1,1.0,0.0
3,1.0,2,80,4,2,4.5,97.5573770492,4.38202663467,4.46457590193,1.38629436112,1,1.0,0.0
4,0.0,2,99,2,2,0.0,97.5573770492,4.59511985013,4.46457590193,0.69314718056,0,1.0,0.0
5,1.0,2,57,9,1,5.0,97.5573770492,4.04305126783,4.46457590193,2.19722457734,1,1.0,0.0
6,2.0,6,160,5,2,4.5,97.5573770492,5.07517381523,4.46457590193,1.60943791243,1,1.0,0.0
7,1.0,4,200,3,2,4.5,97.5573770492,5.29831736655,4.46457590193,1.09861228867,1,1.0,0.0
8,1.0,2,100,3,2,4.5,97.5573770492,4.60517018599,4.46457590193,1.09861228867,1,1.0,0.0
9,0.0,4,116,3,2,5.0,97.5573770492,4.75359019111,4.46457590193,1.09861228867,1,1.0,0.0
10,1.0,1,30,1,1,0.0,97.5573770492,3.40119738166,4.46457590193,0.0,0,1.0,0.0
11,1.0,4,100,5,2,5.0,97.5573770492,4.60517018599,4.46457590193,1.60943791243,1,1.0,0.0
12,0.0,4,135,15,2,4.5,97.5573770492,4.90527477844,4.46457590193,2.7080502011,1,1.0,0.0
13,1.0,2,49,6,1,5.0,97.5573770492,3.89182029811,4.46457590193,1.79175946923,1,1.0,0.0
14,0.0,3,115,5,2,4.5,97.5573770492,4.74493212836,4.46457590193,1.60943791243,1,1.0,0.0
15,0.0,3,229,5,2,5.0,97.5573770492,5.43372200355,4.46457590193,1.60943791243,1,1.0,0.0
16,0.0,2,95,4,2,5.0,97.5573770492,4.5538768916,4.46457590193,1.38629436112,1,1.0,0.0
17,1.0,2,55,6,1,5.0,97.5573770492,4.00733318523,4.46457590193,1.79175946923,1,1.0,0.0
0,1.0,2,119,31,1,5.0,97.5573770492,4.77912349311,4.46457590193,3.43398720449,1,1.0,0.0
1,1.0,2,92,8,1,4.5,97.5573770492,4.52178857705,4.46457590193,2.07944154168,1,1.0,0.0
2,1.0,4,140,4,2,5.0,97.5573770492,4.94164242261,4.46457590193,1.38629436112,1,1.0,0.0
3,1.0,3,85,54,2,4.5,97.5573770492,4.44265125649,4.46457590193,3.98898404656,1,1.0,0.0
4,1.0,2,95,53,1,5.0,97.5573770492,4.5538768916,4.46457590193,3.97029191355,1,1.0,0.0
5,1.0,2,60,5,1,5.0,97.5573770492,4.09434456222,4.46457590193,1.60943791243,1,1.0,0.0
6,0.0,2,100,13,2,5.0,97.5573770492,4.60517018599,4.46457590193,2.56494935746,1,1.0,0.0
7,1.0,2,57,9,1,5.0,97.5573770492,4.04305126783,4.46457590193,2.19722457734,1,1.0,0.0
8,2.0,4,189,3,2,5.0,97.5573770492,5.24174701506,4.46457590193,1.09861228867,1,1.0,0.0
9,1.0,2,98,27,2,4.5,97.5573770492,4.58496747867,4.46457590193,3.295836866,1,1.0,0.0
10,1.0,3,95,4,2,5.0,97.5573770492,4.5538768916,4.46457590193,1.38629436112,1,1.0,0.0
11,0.0,4,116,3,2,5.0,97.5573770492,4.75359019111,4.46457590193,1.09861228867,1,1.0,0.0
12,2.0,4,200,12,2,0.0,97.5573770492,5.29831736655,4.46457590193,2.48490664979,0,1.0,0.0
13,1.0,1,20,7,0,5.0,97.5573770492,2.99573227355,4.46457590193,1.94591014906,1,1.0,0.0
14,1.0,1,70,180,0,5.0,97.5573770492,4.24849524205,4.46457590193,5.19295685089,1,1.0,0.0
15,0.0,2,125,8,2,5.0,97.5573770492,4.8283137373,4.46457590193,2.07944154168,1,1.0,0.0
16,0.0,2,150,0,2,0.0,97.5573770492,5.0106352941,4.46457590193,0.0,0,1.0,0.0
17,1.0,2,99,2,1,0.0,97.5573770492,4.59511985013,4.46457590193,0.69314718056,0,1.0,0.0
0,1.0,1,78,8,1,5.0,97.5573770492,4.35670882669,4.46457590193,2.07944154168,1,1.0,0.0
1,1.0,3,180,11,2,5.0,97.5573770492,5.19295685089,4.46457590193,2.3978952728,1,1.0,0.0
2,1.0,2,99,1,1,0.0,97.5573770492,4.59511985013,4.46457590193,0.0,0,1.0,0.0
3,0.0,2,100,13,2,5.0,97.5573770492,4.60517018599,4.46457590193,2.56494935746,1,1.0,0.0
4,1.0,4,135,1,2,0.0,97.5573770492,4.90527477844,4.46457590193,0.0,0,1.0,0.0
5,1.0,2,119,7,1,4.5,97.5573770492,4.77912349311,4.46457590193,1.94591014906,1,1.0,0.0
6,1.0,1,28,1,1,0.0,97.5573770492,3.33220451018,4.46457590193,0.0,0,1.0,0.0
7,2.0,8,275,1,2,0.0,97.5573770492,5.61677109767,4.46457590193,0.0,0,1.0,0.0
8,1.0,2,65,10,1,4.5,97.5573770492,4.1743872699,4.46457590193,2.30258509299,1,1.0,0.0
9,1.0,4,275,0,2,0.0,97.5573770492,5.61677109767,4.46457590193,0.0,0,1.0,0.0
10,1.0,1,43,27,1,5.0,97.5573770492,3.76120011569,4.46457590193,3.295836866,1,1.0,0.0
11,1.0,1,50,1,1,0.0,97.5573770492,3.91202300543,4.46457590193,0.0,0,1.0,0.0
12,0.0,1,120,10,2,4.5,97.5573770492,4.78749174278,4.46457590193,2.30258509299,1,1.0,0.0
13,1.0,1,34,9,1,4.5,97.5573770492,3.52636052462,4.46457590193,2.19722457734,1,1.0,0.0
14,1.0,1,90,15,1,5.0,97.5573770492,4.49980967033,4.46457590193,2.7080502011,1,1.0,0.0
15,1.0,2,45,5,1,4.5,97.5573770492,3.80666248977,4.46457590193,1.60943791243,1,1.0,0.0
16,1.0,2,45,7,1,4.5,97.5573770492,3.80666248977,4.46457590193,1.94591014906,1,1.0,0.0
17,1.0,4,304,0,2,0.0,97.5573770492,5.71702770141,4.46457590193,0.0,0,1.0,0.0
0,1.0,1,40,0,1,0.0,97.5573770492,3.68887945411,4.46457590193,0.0,0,1.0,0.0
1,1.0,2,65,4,1,4.5,97.5573770492,4.1743872699,4.46457590193,1.38629436112,1,1.0,0.0
2,1.0,2,80,10,0,5.0,97.5573770492,4.38202663467,4.46457590193,2.30258509299,1,1.0,0.0
3,1.0,1,28,5,1,5.0,97.5573770492,3.33220451018,4.46457590193,1.60943791243,1,1.0,0.0
4,1.0,1,45,4,1,5.0,97.5573770492,3.80666248977,4.46457590193,1.38629436112,1,1.0,0.0
5,1.0,4,45,3,2,4.5,97.5573770492,3.80666248977,4.46457590193,1.09861228867,1,1.0,0.0
6,1.0,2,75,70,1,4.5,97.5573770492,4.31748811354,4.46457590193,4.24849524205,1,1.0,0.0
7,1.0,2,95,5,2,5.0,97.5573770492,4.5538768916,4.46457590193,1.60943791243,1,1.0,0.0
8,1.0,2,59,41,1,5.0,97.5573770492,4.07753744391,4.46457590193,3.7135720667,1,1.0,0.0
9,0.0,2,235,5,2,5.0,97.5573770492,5.45958551414,4.46457590193,1.60943791243,1,1.0,0.0
10,1.0,2,100,2,1,0.0,97.5573770492,4.60517018599,4.46457590193,0.69314718056,0,1.0,0.0
11,0.0,2,95,15,2,5.0,97.5573770492,4.5538768916,4.46457590193,2.7080502011,1,1.0,0.0
12,1.0,3,170,24,2,4.5,97.5573770492,5.13579843705,4.46457590193,3.17805383035,1,1.0,0.0
13,1.0,4,100,2,2,0.0,97.5573770492,4.60517018599,4.46457590193,0.69314718056,0,1.0,0.0
14,0.0,2,170,11,2,4.5,97.5573770492,5.13579843705,4.46457590193,2.3978952728,1,1.0,0.0
15,1.0,2,47,12,1,5.0,97.5573770492,3.85014760171,4.46457590193,2.48490664979,1,1.0,0.0
16,1.0,2,98,0,2,0.0,97.5573770492,4.58496747867,4.46457590193,0.0,0,1.0,0.0
17,1.0,2,70,35,1,4.5,97.5573770492,4.24849524205,4.46457590193,3.55534806149,1,1.0,0.0
0,1.0,1,40,3,1,5.0,97.5573770492,3.68887945411,4.46457590193,1.09861228867,1,1.0,0.0
1,1.0,2,90,6,1,4.5,97.5573770492,4.49980967033,4.46457590193,1.79175946923,1,1.0,0.0
2,1.0,2,130,17,2,5.0,97.5573770492,4.86753445046,4.46457590193,2.83321334406,1,1.0,0.0
3,1.0,2,110,6,1,5.0,97.5573770492,4.70048036579,4.46457590193,1.79175946923,1,1.0,0.0
4,0.0,4,165,11,2,5.0,97.5573770492,5.1059454739,4.46457590193,2.3978952728,1,1.0,0.0
5,1.0,2,119,7,1,4.5,97.5573770492,4.77912349311,4.46457590193,1.94591014906,1,1.0,0.0
6,1.0,1,42,20,1,5.0,97.5573770492,3.73766961828,4.46457590193,2.99573227355,1,1.0,0.0
7,1.0,1,65,11,1,5.0,97.5573770492,4.1743872699,4.46457590193,2.3978952728,1,1.0,0.0
8,1.0,2,118,29,2,5.0,97.5573770492,4.77068462447,4.46457590193,3.36729582999,1,1.0,0.0
9,1.0,1,50,0,1,0.0,97.5573770492,3.91202300543,4.46457590193,0.0,0,1.0,0.0
10,1.0,1,50,0,1,0.0,97.5573770492,3.91202300543,4.46457590193,0.0,0,1.0,0.0
11,1.0,2,90,2,2,0.0,97.5573770492,4.49980967033,4.46457590193,0.69314718056,0,1.0,0.0
12,0.0,2,100,17,2,4.5,97.5573770492,4.60517018599,4.46457590193,2.83321334406,1,1.0,0.0
13,1.0,4,70,0,2,0.0,97.5573770492,4.24849524205,4.46457590193,0.0,0,1.0,0.0
14,1.0,3,99,0,1,0.0,97.5573770492,4.59511985013,4.46457590193,0.0,0,1.0,0.0
15,1.0,2,70,0,1,0.0,97.5573770492,4.24849524205,4.46457590193,0.0,0,1.0,0.0
16,1.0,2,100,5,2,4.5,97.5573770492,4.60517018599,4.46457590193,1.60943791243,1,1.0,0.0
17,1.0,2,150,2,1,0.0,97.5573770492,5.0106352941,4.46457590193,0.69314718056,0,1.0,0.0
0,1.0,1,45,4,1,5.0,97.5573770492,3.80666248977,4.46457590193,1.38629436112,1,1.0,0.0
1,1.0,2,50,2,1,0.0,97.5573770492,3.91202300543,4.46457590193,0.69314718056,0,1.0,0.0
2,1.0,4,45,3,2,4.5,97.5573770492,3.80666248977,4.46457590193,1.09861228867,1,1.0,0.0
3,1.0,2,75,70,1,4.5,97.5573770492,4.31748811354,4.46457590193,4.24849524205,1,1.0,0.0
4,1.0,3,135,15,1,5.0,97.5573770492,4.90527477844,4.46457590193,2.7080502011,1,1.0,0.0
5,1.0,2,95,5,2,5.0,97.5573770492,4.5538768916,4.46457590193,1.60943791243,1,1.0,0.0
6,1.0,2,59,41,1,5.0,97.5573770492,4.07753744391,4.46457590193,3.7135720667,1,1.0,0.0
7,1.0,2,129,14,1,5.0,97.5573770492,4.85981240436,4.46457590193,2.63905732962,1,1.0,0.0
8,0.0,2,235,5,2,5.0,97.5573770492,5.45958551414,4.46457590193,1.60943791243,1,1.0,0.0
9,1.0,2,120,9,2,5.0,97.5573770492,4.78749174278,4.46457590193,2.19722457734,1,1.0,0.0
10,1.0,1,40,5,0,5.0,97.5573770492,3.68887945411,4.46457590193,1.60943791243,1,1.0,0.0
11,1.0,2,100,2,1,0.0,97.5573770492,4.60517018599,4.46457590193,0.69314718056,0,1.0,0.0
12,1.0,2,100,3,1,5.0,97.5573770492,4.60517018599,4.46457590193,1.09861228867,1,1.0,0.0
13,1.0,2,169,5,2,5.0,97.5573770492,5.12989871492,4.46457590193,1.60943791243,1,1.0,0.0
14,0.0,2,95,15,2,5.0,97.5573770492,4.5538768916,4.46457590193,2.7080502011,1,1.0,0.0
15,1.0,4,100,2,2,0.0,97.5573770492,4.60517018599,4.46457590193,0.69314718056,0,1.0,0.0
16,1.0,1,52,30,1,4.5,97.5573770492,3.95124371858,4.46457590193,3.40119738166,1,1.0,0.0
17,0.0,2,64,1,2,0.0,97.5573770492,4.15888308336,4.46457590193,0.0,0,1.0,0.0
0,1.0,1,39,13,1,4.5,97.5573770492,3.66356164613,4.46457590193,2.56494935746,1,1.0,0.0
