,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
6,1,2,9340256,175,House,30,Entire home/apt,5.0
7,0,2,1407881,160,Apartment,132,Entire home/apt,5.0
8,1,3,8975238,79,Apartment,3,Private room,5.0
9,2,4,2123241,350,Apartment,17,Entire home/apt,5.0
10,1,2,3720392,185,Apartment,45,Entire home/apt,5.0
11,1,2,51073,140,Apartment,100,Private room,5.0
12,1,2,5070973,89,Apartment,9,Private room,4.0
13,1,2,1478708,90,House,7,Private room,5.0
14,0,1,10759773,83,Apartment,1,Entire home/apt,0.0
15,1,2,4439461,129,House,127,Private room,5.0
16,1,2,2917973,94,Apartment,6,Private room,5.0
17,1,2,3073038,135,Apartment,17,Private room,5.0
0,1,2,7066823,69,House,38,Private room,5.0
1,1,1,11424183,42,Apartment,7,Shared room,4.0
2,1,2,9778047,100,Apartment,3,Private room,5.0
3,1,2,8650354,100,Apartment,10,Private room,4.5
4,1,1,3268637,65,Apartment,177,Private room,4.5
5,1,2,9369546,68,Loft,5,Shared room,4.5
6,1,1,9080895,55,House,18,Shared room,4.5
7,3,6,10788469,350,House,8,Entire home/apt,5.0
8,1,1,10700540,120,Apartment,7,Private room,4.5
9,1,4,10752454,150,Apartment,3,Entire home/apt,5.0
10,1,1,5468024,99,Apartment,88,Private room,4.5
11,1,1,7462923,40,Apartment,44,Shared room,4.5
12,0,2,3780418,165,Apartment,113,Entire home/apt,5.0
13,1,1,568161,65,House,161,Private room,5.0
14,1,1,997382,53,House,175,Private room,4.5
15,1,2,7034114,95,Condominium,4,Private room,5.0
16,1,1,9580380,85,Apartment,10,Private room,4.5
17,1,2,150848,75,House,122,Private room,5.0
0,0,1,10759773,83,Apartment,1,Entire home/apt,0.0
1,1,2,678556,130,House,192,Entire home/apt,5.0
2,1,2,4439461,129,House,127,Private room,5.0
3,1,2,2917973,94,Apartment,6,Private room,5.0
4,1,2,3073038,135,Apartment,17,Private room,5.0
5,1,2,2331166,83,Apartment,81,Private room,5.0
6,1,2,10885556,150,House,4,Private room,5.0
7,1,2,8288229,100,Apartment,19,Entire home/apt,4.5
8,1,2,1633173,57,House,10,Private room,4.0
9,1,3,138619,200,Apartment,13,Entire home/apt,4.5
10,1,2,7952959,88,Apartment,7,Entire home/apt,4.5
11,1,1,1148625,94,Condominium,127,Private room,5.0
12,0,2,8844548,207,Bungalow,45,Entire home/apt,5.0
13,1,4,8584000,210,Apartment,29,Entire home/apt,5.0
14,1,4,11967391,175,Apartment,0,Entire home/apt,0.0
15,1,2,7066823,69,House,38,Private room,5.0
16,1,1,11424183,42,Apartment,7,Shared room,4.0
17,1,2,9778047,100,Apartment,3,Private room,5.0
0,2,5,10058134,300,Apartment,5,Entire home/apt,5.0
1,1,4,2280258,125,Apartment,49,Private room,5.0
2,1,1,8152867,79,House,9,Private room,5.0
3,1,2,10127110,58,Condominium,0,Private room,0.0
4,1,2,9778047,100,Apartment,3,Private room,5.0
5,1,2,9369546,68,Loft,5,Shared room,4.5
6,1,2,9051149,99,Apartment,56,Private room,5.0
7,1,2,11361656,89,Apartment,3,Private room,4.5
8,2,5,6063800,375,Apartment,11,Entire home/apt,5.0
9,1,2,3283447,155,Loft,88,Private room,5.0
10,0,2,2072781,140,Apartment,15,Entire home/apt,5.0
11,1,2,3946571,115,House,118,Private room,5.0
12,1,1,4129398,91,Apartment,28,Private room,5.0
13,1,2,10733491,130,Apartment,6,Private room,5.0
14,1,2,1080408,99,House,8,Private room,5.0
15,1,2,5260816,89,Apartment,42,Private room,4.5
16,1,1,909063,80,Apartment,125,Private room,5.0
17,1,2,8255072,100,House,18,Private room,5.0
0,1,1,7462923,40,Apartment,44,Shared room,4.5
1,0,2,3780418,165,Apartment,113,Entire home/apt,5.0
2,1,1,2614474,98,House,13,Private room,4.5
3,1,1,5299538,55,House,56,Shared room,4.5
4,1,2,2112300,78,Apartment,126,Private room,5.0
5,1,2,1100287,80,House,64,Private room,4.5
6,1,1,997382,53,House,175,Private room,4.5
7,1,2,7034114,95,Condominium,4,Private room,5.0
8,1,2,905399,85,Apartment,64,Private room,5.0
9,1,1,11870857,39,Apartment,1,Shared room,0.0
10,1,2,2665028,195,Loft,14,Entire home/apt,5.0
11,1,1,9580380,85,Apartment,10,Private room,4.5
12,1,2,7965068,98,Apartment,9,Entire home/apt,5.0
13,0,4,9218585,275,Loft,12,Entire home/apt,5.0
14,1,2,11100303,70,Apartment,2,Shared room,0.0
15,1,2,3729987,199,Apartment,8,Entire home/apt,5.0
16,1,2,11593303,75,Apartment,1,Private room,0.0
17,1,1,7902889,90,Loft,36,Shared room,4.5
0,1,1,7204241,40,Apartment,32,Shared room,5.0
1,1,2,702461,139,Apartment,75,Entire home/apt,4.5
2,2,2,11454249,105,House,2,Entire home/apt,0.0
3,1,2,4902855,79,Apartment,109,Private room,4.0
4,1,2,2123469,135,House,77,Private room,5.0
5,2,5,10058134,300,Apartment,5,Entire home/apt,5.0
6,1,2,6452714,99,Condominium,33,Private room,5.0
7,1,2,6628985,100,House,26,Private room,4.5
8,1,2,8320021,80,Apartment,19,Private room,4.5
9,0,3,10509841,195,Apartment,9,Entire home/apt,5.0
10,1,2,2164917,95,House,6,Private room,5.0
11,2,5,6923940,190,House,9,Entire home/apt,4.5
12,1,1,11067551,53,Apartment,2,Private room,0.0
13,1,2,11034770,65,Apartment,2,Private room,0.0
14,0,4,7845599,150,Apartment,40,Entire home/apt,5.0
15,1,2,6427524,150,House,29,Entire home/apt,4.5
16,1,2,11191951,100,House,8,Private room,5.0
17,1,2,3073038,135,Apartment,17,Private room,5.0
0,1,2,2164917,95,House,6,Private room,5.0
1,2,5,6923940,190,House,9,Entire home/apt,4.5
2,1,1,11067551,53,Apartment,2,Private room,0.0
3,1,2,11034770,65,Apartment,2,Private room,0.0
4,0,4,7845599,150,Apartment,40,Entire home/apt,5.0
5,1,2,6427524,150,House,29,Entire home/apt,4.5
6,1,2,11191951,100,House,8,Private room,5.0
7,1,2,3073038,135,Apartment,17,Private room,5.0
8,1,2,2917973,94,Apartment,6,Private room,5.0
9,1,2,51073,140,Apartment,100,Private room,5.0
10,1,2,5851961,170,Apartment,54,Entire home/apt,4.5
11,1,2,11701259,140,Apartment,0,Entire home/apt,0.0
12,0,2,11070328,120,Apartment,5,Entire home/apt,4.5
13,1,2,5260816,89,Apartment,42,Private room,4.5
14,1,2,220418,90,House,200,Private room,4.5
15,2,5,10119316,212,Apartment,26,Entire home/apt,5.0
16,1,2,4902799,79,Apartment,102,Private room,4.5
17,1,2,9481209,65,Apartment,4,Private room,5.0
0,0,2,8328410,149,Apartment,20,Entire home/apt,5.0
1,1,1,1892956,70,Apartment,17,Private room,4.5
2,1,2,10455995,100,House,5,Private room,5.0
3,1,2,4560261,168,House,25,Private room,5.0
4,1,2,8992582,89,Apartment,17,Private room,4.5
5,1,2,10427768,83,Apartment,3,Private room,4.5
6,1,2,3721927,185,Apartment,70,Entire home/apt,5.0
7,1,1,3082327,80,House,130,Private room,5.0
8,0,2,9119021,142,Apartment,2,Entire home/apt,0.0
9,1,2,2853351,80,House,141,Private room,5.0
10,0,3,10509841,195,Apartment,9,Entire home/apt,5.0
11,1,2,4275896,95,House,46,Private room,4.5
12,2,4,5581254,149,Apartment,33,Entire home/apt,5.0
13,1,2,10213460,125,Condominium,8,Private room,5.0
14,2,5,6923940,190,House,9,Entire home/apt,4.5
15,1,2,8734033,110,House,2,Private room,0.0
16,2,5,10058134,300,Apartment,5,Entire home/apt,5.0
17,1,2,8685943,89,Apartment,22,Private room,4.5
0,1,2,2123469,135,House,77,Private room,5.0
1,1,2,6628985,100,House,26,Private room,4.5
2,2,6,7207426,250,House,7,Entire home/apt,5.0
3,1,2,8320021,80,Apartment,19,Private room,4.5
4,0,3,10509841,195,Apartment,9,Entire home/apt,5.0
5,2,5,6923940,190,House,9,Entire home/apt,4.5
6,1,1,11067551,53,Apartment,2,Private room,0.0
7,1,2,11034770,65,Apartment,2,Private room,0.0
8,1,2,6732755,68,Townhouse,58,Shared room,4.5
9,0,4,7845599,150,Apartment,40,Entire home/apt,5.0
10,1,4,8320256,200,House,14,Private room,5.0
11,1,1,11182380,39,House,5,Shared room,5.0
12,2,4,8950377,350,Apartment,6,Entire home/apt,5.0
13,1,2,11191951,100,House,8,Private room,5.0
14,1,2,10528294,130,Apartment,4,Private room,5.0
15,1,2,488359,195,House,110,Entire home/apt,5.0
16,1,2,3073038,135,Apartment,17,Private room,5.0
17,1,2,2917973,94,Apartment,6,Private room,5.0
0,1,2,8796172,105,Apartment,7,Entire home/apt,5.0
1,1,2,10791575,75,Bed & Breakfast,0,Shared room,0.0
2,1,2,5070054,89,Apartment,58,Private room,4.5
3,1,2,5852066,125,House,50,Private room,5.0
4,1,2,1857709,205,Apartment,87,Private room,5.0
5,1,2,7989636,101,Condominium,73,Private room,5.0
6,1,2,11593303,75,Apartment,1,Private room,0.0
7,1,2,5320410,170,Apartment,21,Entire home/apt,4.5
8,1,2,7143032,89,Apartment,39,Private room,4.5
9,1,2,10823803,300,Apartment,0,Private room,0.0
10,1,2,213532,85,House,199,Private room,4.5
11,1,2,12041358,89,House,0,Private room,0.0
12,1,2,11752686,143,Apartment,2,Entire home/apt,0.0
13,1,2,783135,130,Apartment,46,Entire home/apt,4.5
14,1,2,11344717,99,Apartment,5,Private room,4.5
15,1,2,11966167,70,Apartment,2,Private room,0.0
16,1,2,10427768,83,Apartment,3,Private room,4.5
17,2,4,7861157,195,Apartment,17,Entire home/apt,4.5
0,1,2,10528294,130,Apartment,4,Private room,5.0
1,1,1,10001209,60,House,2,Private room,0.0
2,1,2,1998111,69,House,150,Private room,4.5
3,1,4,4323170,200,Loft,2,Entire home/apt,0.0
4,1,2,9459546,148,House,7,Entire home/apt,5.0
5,1,2,2533484,79,Apartment,3,Private room,4.0
6,1,2,4948340,60,House,83,Private room,4.5
7,1,2,830982,149,Apartment,10,Entire home/apt,5.0
8,1,1,8721500,95,Apartment,9,Private room,4.5
9,1,2,9318994,189,Condominium,6,Private room,4.5
10,1,2,4156390,85,House,112,Private room,5.0
11,1,1,4897595,95,Apartment,12,Private room,5.0
12,2,4,4754285,245,Apartment,12,Entire home/apt,5.0
13,1,2,1112392,170,Loft,86,Private room,4.5
14,1,2,9821356,85,Apartment,7,Private room,3.5
15,1,2,9577758,58,Apartment,12,Private room,3.5
16,0,2,2072781,140,Apartment,15,Entire home/apt,5.0
17,0,2,8328410,149,Apartment,20,Entire home/apt,5.0
